#Controller/Action/Helper/Eventdocuments.php
"Show visibility option to users. Allow users to choose whether their event documents will be public or private,i.e., available only on your website, or also on Scribd.com.";"Show visibility option to users. Allow users to choose whether their event documents will be public or private,i.e., available only on your website, or also on Scribd.com."
"Featured Documents Carousel";"Featured Documents Carousel"
"Do you want to show the carousel for featured documents in events in the Documents tab of events ?";"Do you want to show the carousel for featured documents in events in the Documents tab of events ?"
"Documents in Featured Carousel";"Documents in Featured Carousel"
"How many documents should be shown in the carousel for featured documents (value cannot be empty or zero) ?";"How many documents should be shown in the carousel for featured documents (value cannot be empty or zero) ?"
"Making Event Documents Featured";"Making Event Documents Featured"
"Allow event owners to make documents in their events as featured.";"Allow event owners to make documents in their events as featured."
" 	Yes";" 	Yes"
" 	No";" 	No"
"WYSIWYG Editor";"WYSIWYG Editor"
"Allow WYSIWYG editor for description of event documents.";"Allow WYSIWYG editor for description of event documents."
"Maximum file size";"Maximum file size"
"Enter the maximum event document file size in KB. Valid values are from 1 to %s KB.";"Enter the maximum event document file size in KB. Valid values are from 1 to %s KB."
"Event Document Rating";"Event Document Rating"
"Allow logged-in users to give rating to event documents.";"Allow logged-in users to give rating to event documents."
"Report as inappropriate";"Report as inappropriate"
"Allow logged-in users to report event documents as inappropriate.";"Allow logged-in users to report event documents as inappropriate."
"Event Document Sharing";"Event Document Sharing"
"Allow logged-in users to share event documents within the site.";"Allow logged-in users to share event documents within the site."
"Social Sharing Buttons";"Social Sharing Buttons"
"Do you want to show social sharing buttons on the main event document page ?";"Do you want to show social sharing buttons on the main event document page ?"
" 	Yes, show the social sharing buttons on the main event document page.";" 	Yes, show the social sharing buttons on the main event document page."
" 	No, do not show the social sharing buttons on the main event document page.";" 	No, do not show the social sharing buttons on the main event document page."
"License associated with event documents";"License associated with event documents"
"Choose the license to be associated with the event documents on your site. The license will be shown on your site, as well as on Scribd.com.";"Choose the license to be associated with the event documents on your site. The license will be shown on your site, as well as on Scribd.com."
"Selecting this will allow users to choose the license to be associated with their event documents.";"Selecting this will allow users to choose the license to be associated with their event documents."
"Show license option to users";"Show license option to users"
"If this option is checked, the full text for a event document will be visible if downloading is enabled for that event document and if the iPaper viewer is not visible because of javascript being disabled on user's browser. Also, full text on the page allows search engines to index content, and increases SEO.";"If this option is checked, the full text for a event document will be visible if downloading is enabled for that event document and if the iPaper viewer is not visible because of javascript being disabled on user's browser. Also, full text on the page allows search engines to index content, and increases SEO."
"Include full text on pages";"Include full text on pages"
"Save event documents on your site's server";"Save event documents on your site's server"
"Save event documents on server";"Save event documents on server"
"Event Document downloading";"Event Document downloading"
"Enable downloading of event documents.";"Enable downloading of event documents."
"Show option to users during event document creation to allow downloading of their event documents.";"Show option to users during event document creation to allow downloading of their event documents."
"Download Format";"Download Format"
"Select the format in which the downloadable event documents will be downloaded in.";"Select the format in which the downloadable event documents will be downloaded in."
"PDF";"PDF"
"Original Event Document Format";"Original Event Document Format"
"Plain Text";"Plain Text"
"Secure iPaper Settings";"Secure iPaper Settings"
